GEOID,NAME,racUniverse,racWhite,hispUniverse,notHisp,whiteNotHisp,povUniverse,stcty,above200
34007610300,"Census Tract 6103, Camden County, New Jersey",2253,955,2253,1818,618,1742,34007,779
34007610400,"Census Tract 6104, Camden County, New Jersey",4717,868,4717,2880,495,3096,34007,1309
34007610500,"Census Tract 6105, Camden County, New Jersey",6679,2395,6679,4652,1733,6662,34007,4532
34007610600,"Census Tract 6106, Camden County, New Jersey",1136,873,1136,1117,873,1065,34007,708
34007610800,"Census Tract 6108, Camden County, New Jersey",2894,916,2894,2241,808,2894,34007,2130
34007610900,"Census Tract 6109, Camden County, New Jersey",3341,3311,3341,3290,3280,3330,34007,2686
34007611000,"Census Tract 6110, Camden County, New Jersey",6153,5339,6153,5793,5117,6096,34007,3836
34007611100,"Census Tract 6111, Camden County, New Jersey",2952,2361,2952,2517,2274,2952,34007,2116
34007611200,"Census Tract 6112, Camden County, New Jersey",4559,4158,4559,4475,4085,4417,34007,3862
34007611300,"Census Tract 6113, Camden County, New Jersey",4787,3649,4787,4555,3649,4421,34007,3731
34007611400,"Census Tract 6114, Camden County, New Jersey",4697,3875,4697,4307,3729,4626,34007,3791
34007611500,"Census Tract 6115, Camden County, New Jersey",5323,4295,5323,4978,4212,4343,34007,3659
34007611600,"Census Tract 6116, Camden County, New Jersey",4690,3297,4690,3891,2975,4678,34007,2941
34007611700,"Census Tract 6117, Camden County, New Jersey",3023,2942,3023,2990,2909,3009,34007,2474
34015500100,"Census Tract 5001, Gloucester County, New Jersey",4374,3882,4374,4087,3834,4372,34015,3033
34015500201,"Census Tract 5002.01, Gloucester County, New Jersey",2762,2463,2762,2729,2430,2762,34015,2198
34015500202,"Census Tract 5002.02, Gloucester County, New Jersey",4546,4108,4546,4464,4075,4546,34015,3529
34015500203,"Census Tract 5002.03, Gloucester County, New Jersey",4865,4531,4865,4774,4476,4858,34015,4166
34015500204,"Census Tract 5002.04, Gloucester County, New Jersey",5910,4893,5910,5476,4668,5811,34015,5063
34015500205,"Census Tract 5002.05, Gloucester County, New Jersey",3363,2955,3363,3245,2852,3322,34015,2573
34015500300,"Census Tract 5003, Gloucester County, New Jersey",3109,2894,3109,3065,2880,3100,34015,2247
34015500400,"Census Tract 5004, Gloucester County, New Jersey",6169,3816,6169,5769,3645,6169,34015,3751
34015500500,"Census Tract 5005, Gloucester County, New Jersey",4938,4712,4938,4915,4689,4938,34015,3961
34015500600,"Census Tract 5006, Gloucester County, New Jersey",8909,7720,8909,8484,7563,8697,34015,7972
34015500701,"Census Tract 5007.01, Gloucester County, New Jersey",7630,7011,7630,7348,6772,7630,34015,6623
34015500702,"Census Tract 5007.02, Gloucester County, New Jersey",6076,5884,6076,5914,5767,6064,34015,5505
34015500703,"Census Tract 5007.03, Gloucester County, New Jersey",1477,1420,1477,1477,1420,1477,34015,1366
34015500800,"Census Tract 5008, Gloucester County, New Jersey",2212,2151,2212,2168,2107,2212,34015,2049
34015500900,"Census Tract 5009, Gloucester County, New Jersey",3074,2981,3074,3026,2943,3074,34015,2759
34015501001,"Census Tract 5010.01, Gloucester County, New Jersey",2307,1651,2307,2037,1440,2307,34015,1665
34015501002,"Census Tract 5010.02, Gloucester County, New Jersey",4130,2281,4130,3884,2203,3880,34015,2536
34015501003,"Census Tract 5010.03, Gloucester County, New Jersey",3843,3011,3843,3714,2937,3843,34015,3306
34015501101,"Census Tract 5011.01, Gloucester County, New Jersey",3800,2787,3800,3523,2700,3706,34015,2519
34015501102,"Census Tract 5011.02, Gloucester County, New Jersey",7044,5271,7044,6321,4808,7035,34015,5720
